RSSI_5meters;RSSI_10meters;RSSI_15meters;RSSI_20meters;RSSI_25meters;RSSI_30meters;RSSI_35meters;RSSI_40meters
-52;-66;-67;-59;-56;-68;-65;-67
-52;-66;-67;-59;-59;-67;-66;-69
-49;-68;-67;-59;-59;-68;-65;-68
-52;-62;-67;-59;-59;-68;-65;-68
-50;-64;-67;-59;-59;-68;-65;-67
-52;-67;-66;-59;-59;-67;-65;-71
-52;-64;-66;-59;-59;-68;-65;-67
-53;-66;-66;-59;-59;-68;-65;-69
-52;-67;-67;-59;-59;-68;-65;-68
-53;-67;-66;-59;-59;-68;-65;-67
-52;-67;-66;-59;-59;-68;-65;-71
-52;-67;-67;-59;-59;-67;-65;-68
-52;-67;-66;-59;-59;-65;-65;-68
-50;-70;-63;-59;-59;-68;-65;-71
-52;-69;-66;-59;-59;-67;-65;-70
-52;-68;-66;-59;-59;-67;-65;-68
-52;-67;-64;-59;-59;-68;-65;-68
-50;-70;-66;-59;-59;-68;-65;-68
-52;-69;-66;-59;-59;-68;-65;-68
-52;-67;-66;-59;-59;-68;-65;-68
-52;-69;-66;-59;-59;-68;-65;-67
-52;-70;-67;-59;-59;-68;-65;-67
-50;-69;-66;-59;-59;-68;-65;-70
-52;-68;-64;-59;-59;-68;-65;-70
-53;-68;-63;-59;-59;-68;-65;-70
-53;-68;-66;-59;-59;-68;-65;-67
-50;-66;-67;-59;-59;-65;-65;-68
-53;-69;-67;-59;-59;-68;-65;-70
-52;-69;-66;-59;-59;-75;-65;-67
-53;-69;-63;-59;-59;-68;-65;-68
-53;-68;-66;-59;-59;-68;-65;-67
-51;-65;-67;-59;-59;-65;-65;-67
-48;-70;-66;-59;-59;-68;-66;-66
-52;-68;-67;-59;-59;-68;-65;-70
-51;-68;-66;-59;-59;-68;-66;-69
-52;-68;-67;-59;-59;-68;-65;-67
-52;-68;-67;-59;-59;-68;-66;-67
-52;-69;-67;-59;-59;-68;-66;-67
-52;-68;-67;-59;-59;-68;-66;-68
-51;-69;-67;-59;-59;-68;-66;-67
-49;-68;-67;-59;-59;-68;-75;-70
-52;-68;-67;-60;-59;-65;-66;-70
-52;-68;-64;-60;-59;-68;-63;-67
-51;-68;-66;-60;-59;-68;-66;-69
-51;-68;-67;-59;-59;-65;-66;-68
-52;-69;-66;-60;-56;-68;-65;-68
-52;-74;-63;-60;-59;-67;-66;-70
-52;-69;-66;-59;-59;-65;-66;-68
-49;-69;-66;-59;-59;-65;-65;-68
-51;-69;-66;-59;-59;-68;-65;-70
-52;-69;-64;-59;-59;-68;-65;-71
-51;-69;-66;-59;-59;-68;-65;-71
-49;-69;-66;-59;-59;-68;-65;-70
-52;-69;-67;-59;-59;-65;-65;-67
-49;-66;-66;-59;-59;-68;-65;-67
-53;-69;-66;-59;-59;-68;-65;-68
-52;-68;-66;-59;-59;-68;-65;-68
-52;-69;-67;-60;-59;-68;-66;-68
-52;-69;-67;-59;-59;-68;-66;-68
-52;-69;-67;-59;-59;-68;-66;-70
-52;-69;-67;-60;-59;-73;-66;-70
-52;-69;-67;-59;-59;-68;-65;-67
-52;-66;-67;-59;-58;-68;-65;-67
-48;-69;-66;-59;-58;-67;-66;-67
-52;-69;-67;-59;-59;-67;-65;-67
-52;-66;-67;-59;-59;-67;-65;-70
-52;-68;-66;-60;-59;-67;-66;-70
-52;-68;-67;-59;-59;-68;-65;-68
-52;-68;-67;-60;-59;-67;-66;-71
-73;-65;-66;-59;-59;-67;-66;-68
-52;-68;-66;-60;-59;-68;-66;-71
-52;-65;-67;-60;-59;-67;-66;-72
-52;-68;-67;-60;-59;-68;-66;-71
-52;-68;-67;-59;-59;-68;-66;-72
-52;-68;-64;-60;-59;-68;-66;-71
-51;-68;-67;-60;-59;-68;-65;-71
-49;-68;-67;-60;-59;-68;-65;-72
-52;-68;-66;-60;-59;-68;-65;-71
-52;-68;-67;-60;-59;-68;-65;-71
-50;-68;-67;-60;-59;-68;-65;-72
-52;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-59;-59;-65;-65;-71
-51;-68;-67;-59;-59;-65;-65;-69
-53;-68;-67;-60;-59;-68;-65;-68
