timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1650304387;7;2;-52;28;7;0
1650304389;7;2;-52;27;7;0
1650304390;7;2;-53;27;7;0
1650304392;7;2;-52;27;7;0
1650304393;7;2;-52;27;7;0
1650304394;7;2;-53;28;7;1
1650304396;7;2;-53;28;7;1
1650304397;7;2;-53;27;7;1
1650304399;7;2;-52;27;7;1
1650304400;7;2;-53;27;7;1
1650304401;7;2;-53;27;7;1
1650304403;7;2;-53;27;7;1
1650304404;7;2;-52;28;7;1
1650304405;7;2;-52;27;7;1
1650304407;7;2;-52;27;7;1
1650304408;7;2;-52;27;7;1
1650304410;7;2;-52;27;7;1
1650304411;7;2;-51;27;7;1
1650304412;7;2;-52;28;7;1
1650304414;7;2;-51;27;7;1
1650304415;7;2;-52;28;7;1
1650304416;7;2;-51;28;7;1
1650304418;7;2;-51;27;7;1
1650304419;7;2;-52;27;7;1
1650304421;7;2;-51;27;7;1
1650304422;7;2;-51;27;7;1
1650304423;7;2;-52;27;7;1
1650304425;7;2;-52;28;7;3
1650304426;7;2;-52;28;7;3
1650304428;7;2;-52;27;7;3
1650304429;7;2;-52;27;10;3
1650304430;7;2;-52;28;10;3
1650304432;7;2;-53;28;10;3
1650304433;7;2;-53;27;10;3
1650304434;7;2;-53;27;10;3
1650304436;7;2;-52;28;10;3
1650304437;7;2;-52;27;10;3
1650304439;7;2;-53;27;10;3
1650304440;7;2;-53;27;10;3
1650304441;7;2;-53;28;10;3
1650304443;7;2;-53;28;10;3
1650304444;7;2;-53;27;10;3
1650304445;7;2;-53;27;10;3
1650304447;7;2;-53;27;10;3
1650304448;7;2;-52;28;10;3
1650304450;7;2;-52;27;10;3
1650304451;7;2;-53;27;10;3
1650304452;7;2;-53;27;10;3
1650304454;7;2;-52;27;10;3
1650304455;7;2;-52;28;7;6
1650304457;7;2;-52;27;7;6
1650304458;7;2;-52;27;7;6
1650304459;7;2;-53;27;7;6
1650304461;7;2;-53;27;7;6
1650304462;7;2;-53;28;7;6
1650304463;7;2;-53;27;7;6
1650304465;7;2;-53;27;7;6
1650304466;7;2;-53;27;7;6
1650304468;7;2;-53;27;7;6
1650304469;7;2;-53;27;7;6
1650304470;7;2;-52;28;7;6
1650304472;7;2;-53;28;7;6
1650304473;7;2;-53;28;7;6
1650304474;7;2;-52;28;7;6
1650304476;7;2;-52;28;7;6
1650304477;7;2;-52;28;7;6
1650304479;7;2;-53;28;7;6
1650304480;7;2;-52;28;7;6
1650304481;7;2;-52;28;7;6
1650304483;7;2;-53;27;7;6
1650304484;7;2;-53;27;7;6
1650304486;7;2;-52;28;7;13
1650304487;7;2;-53;27;7;13
1650304488;7;2;-53;27;7;13
