RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-54;7,12;;-69;13,5;;-68;4,81;;-59;4,84;;-59;4,16;;-68;4,87;;-65;5,59;;-66;3,95
-54;5,73;;-68;9,37;;-68;4,28;;-59;4,17;;-59;4,6;;-68;4,66;;-66;5,26;;-66;4,78
-53;4,92;;-68;14,4;;-69;4,18;;-59;4,08;;-59;4,27;;-68;8,51;;-65;5,76;;-66;11,6
-54;5,81;;-68;9,32;;-68;5,61;;-59;7,84;;-59;3,95;;-68;4,9;;-65;7,39;;-66;4,06
-54;5,52;;-68;8,19;;-69;4,79;;-60;4,17;;-59;4,49;;-68;4,16;;-65;5,64;;-66;5,38
-54;5,91;;-69;9,15;;-68;4,23;;-60;4,71;;-59;3,98;;-68;6,95;;-65;5,87;;-66;3,99
-53;6,07;;-68;18,4;;-68;4,92;;-59;7,9;;-59;6,82;;-68;7,86;;-65;5,15;;-66;4,44
-53;7,97;;-68;15,4;;-68;7,58;;-59;3,98;;-59;4,35;;-68;4;;-65;5,38;;-66;10,6
-54;5,67;;-67;11,7;;-68;5,64;;-59;4,13;;-59;5,75;;-68;4,86;;-65;5,42;;-66;5,17
-53;5,8;;-68;6,46;;-68;4,64;;-60;5,8;;-59;6,48;;-68;7,81;;-64;5,74;;-66;6,98
-54;8,58;;-68;14,4;;-68;6,73;;-60;4,82;;-59;4,06;;-65;4,35;;-65;5,77;;-66;4,5
-54;5,8;;-70;18,3;;-65;4,35;;-60;4,03;;-59;4,37;;-68;4,63;;-64;6,38;;-66;5,08
-53;5,06;;-69;7,31;;-68;4,54;;-60;4,68;;-58;4,04;;-67;4,58;;-64;5,73;;-66;4,15
-57;5,92;;-68;13,2;;-68;6,38;;-60;4,44;;-58;4,64;;-67;4,83;;-64;7,28;;-66;5,87
-56;8,63;;-68;3,93;;-68;4,46;;-60;4,11;;-59;3,99;;-67;7,88;;-64;8,41;;-66;5,74
-52;5,1;;-68;17,5;;-68;4,69;;-59;6,54;;-58;4,62;;-67;4,79;;-64;5,68;;-66;5,27
-49;5,05;;-68;12;;-68;4,54;;-59;4,85;;-59;5,34;;-67;4,66;;-64;5,19;;-66;5,77
-53;5,67;;-68;10,5;;-68;4,53;;-59;4,59;;-59;4,85;;-67;3,94;;-64;5,46;;-66;6,64
-52;4,99;;-68;6,08;;-68;4,23;;-59;4,6;;-59;5,52;;-68;7,7;;-64;5,5;;-66;5,11
-52;8,71;;-68;4,06;;-68;4,27;;-59;4,03;;-59;4,19;;-65;4,07;;-64;5,63;;-66;5,29
